UTC Date / Time;Date / Time;Action;Service;Protocol;Direction;Risk;Policy;Policy Type;Other Policies;Category;In;Out;Src. MAC;Src. Ip;Src. Port;Src. Name;Src. Network;Src. Region;Src. Zone;Dst. Domain;Dst. MAC;Dst. Ip;Dst. Port;Dst. Name;Dst. Network;Dst. Region;Dst. Zone;Signature;Signature ID;Bytes;Bytes Rec.;Bytes Sent;Packets;Packets Rec.;Packets Sent;Session Id;Flow Count
2025-11-18T23:49:01.62Z;Nov 19, 2025 12:49:01.620 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;53743;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:50:16.708Z;Nov 19, 2025 12:50:16.708 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;40487;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:50:37.419Z;Nov 19, 2025 12:50:37.419 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;132;null;null;1;null;null;;4
2025-11-18T23:50:39.526Z;Nov 19, 2025 12:50:39.526 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;95.24.76.14;30167;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:50:54.529Z;Nov 19, 2025 12:50:54.529 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;188.17.164.73;2323;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:51:31.805Z;Nov 19, 2025 12:51:31.805 AM;blocked;Other;tcp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;54323;UNAS 25:f4;V100;;Internal;;;95.66.128.95;12504;;;RU;External;;;60;null;null;1;null;null;;8
2025-11-18T23:51:39.535Z;Nov 19, 2025 12:51:39.535 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;178.69.56.64;49001;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:51:54.537Z;Nov 19, 2025 12:51:54.537 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;92.127.29.32;49001;;;RU;External;;;93;null;null;1;null;null;;1
2025-11-18T23:52:04.539Z;Nov 19, 2025 12:52:04.539 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;5.228.114.241;22570;;;RU;External;;;132;null;null;1;null;null;;1
2025-11-18T23:52:14.54Z;Nov 19, 2025 12:52:14.540 AM;blocked;Other;udp;outgoing;low;;Protection;;;V100;Internet 1;6c:1f:f7:8e:25:f4;10.10.100.100;51413;UNAS 25:f4;V100;;Internal;;;84.53.216.7;14478;;;RU;External;;;132;null;null;1;null;null;;1
